bioguide,nominate_dim1,name,birth_date,party,twitter,screen_name
W000808,-0.478,Frederica S. Wilson,1942-11-05,Democratic,RepWilson,repwilson
F000462,-0.4,Lois Frankel,1948-05-16,Democratic,RepLoisFrankel,reploisfrankel
C001111,-0.225,Charlie Crist,1956-07-24,Democratic,repcharliecrist,repcharliecrist
D000627,-0.338,Val Butler Demings,1957-03-12,Democratic,RepValDemings,repvaldemings
D000628,0.527,Neal P. Dunn,1953-02-16,Republican,drnealdunnfl2,drnealdunnfl2
G000578,0.625,Matt Gaetz,1982-05-07,Republican,RepMattGaetz,repmattgaetz
L000586,-0.259,"Al Lawson, Jr.",1948-09-23,Democratic,RepAlLawsonJr,repallawsonjr
M001199,0.447,Brian J. Mast,1980-07-10,Republican,repbrianmast,repbrianmast
M001202,-0.16,Stephanie N. Murphy,1978-09-16,Democratic,RepStephMurphy,repstephmurphy
R000609,0.419,John H. Rutherford,1952-09-02,Republican,RepRutherfordFL,reprutherfordfl
S001200,-0.379,Darren Soto,1978-02-25,Democratic,RepDarrenSoto,repdarrensoto
S001214,0.676,W. Gregory Steube,1978-05-19,Republican,RepGregSteube,repgregsteube
W000823,0.417,Michael Waltz,1974-01-31,Republican,RepWaltzPress,repwaltzpress
C001039,0.666,Kat Cammack,1988-02-16,Republican,RepKatCammack,repkatcammack
D000032,0.701,Byron Donalds,1978-10-28,Republican,,
F000472,0.585,C. Scott Franklin,1964-08-23,Republican,RepFranklin,repfranklin
G000593,0.261,Carlos A. Gimenez,1954-01-17,Republican,RepCarlos,repcarlos
S000168,0.278,Maria Elvira Salazar,1961-11-01,Republican,RepMariaSalazar,repmariasalazar
S001157,-0.302,David Scott,1945-06-27,Democratic,RepDavidScott,repdavidscott
J000288,-0.468,"Henry C. ""Hank"" Johnson, Jr.",1954-10-02,Democratic,RepHankJohnson,rephankjohnson
S001189,0.566,Austin Scott,1969-12-10,Republican,AustinScottGA08,austinscottga08
C001103,0.585,"Earl L. ""Buddy"" Carter",1957-09-06,Republican,RepBuddyCarter,repbuddycarter
H001071,0.795,Jody B. Hice,1960-04-22,Republican,congressmanhice,congressmanhice
L000583,0.693,Barry Loudermilk,1963-12-22,Republican,RepLoudermilk,reploudermilk
A000372,0.692,Rick W. Allen,1951-11-07,Republican,reprickallen,reprickallen
F000465,0.6,A. Drew Ferguson IV,1966-11-15,Republican,RepDrewFerguson,repdrewferguson
M001208,-0.266,Lucy McBath,1960-06-01,Democratic,replucymcbath,replucymcbath
